processor   size dir time
36th-r24g39 1 fwd 1.3845980167388916
36th-r24g39 1 fwd 1.3163866996765137
36th-r24g39 1 fwd 1.3032944202423096
36th-r24g39 1 fwd 1.3102507591247559
36th-r24g39 1 fwd 1.306412696838379
36th-r24g39 1 fwd 1.3273160457611084
36th-r24g39 1 fwd 1.3479983806610107
36th-r24g39 1 fwd 1.3499016761779785
36th-r24g39 1 fwd 1.3643913269042969
36th-r24g39 1 fwd 1.4007863998413086
36th-r24g39 1 back 1.679107427597046
36th-r24g39 1 back 1.5991170406341553
36th-r24g39 1 back 1.6379749774932861
36th-r24g39 1 back 1.6025335788726807
36th-r24g39 1 back 1.6051435470581055
36th-r24g39 1 back 1.5986778736114502
36th-r24g39 1 back 1.599893569946289
36th-r24g39 1 back 1.597968339920044
36th-r24g39 1 back 1.5982716083526611
36th-r24g39 1 back 1.685570240020752
36th-r24g39 1 back2 2.307788133621216
36th-r24g39 1 back2 2.261151075363159
36th-r24g39 1 back2 2.254066228866577
36th-r24g39 1 back2 2.2768595218658447
36th-r24g39 1 back2 2.2281360626220703
36th-r24g39 1 back2 2.2548131942749023
36th-r24g39 1 back2 2.3458454608917236
36th-r24g39 1 back2 2.301820993423462
36th-r24g39 1 back2 2.2798240184783936
36th-r24g39 1 back2 2.3314714431762695
36th-r24g39 7 fwd 8.700245141983032
36th-r24g39 7 fwd 8.741478443145752
36th-r24g39 7 fwd 8.81617522239685
36th-r24g39 7 fwd 8.721872568130493
36th-r24g39 7 fwd 8.806955337524414
36th-r24g39 7 fwd 8.665701150894165
36th-r24g39 7 fwd 8.765331745147705
36th-r24g39 7 fwd 8.822279691696167
36th-r24g39 7 fwd 8.694872856140137
36th-r24g39 7 fwd 8.701626062393188
36th-r24g39 7 back 10.891311645507812
36th-r24g39 7 back 10.805891752243042
36th-r24g39 7 back 10.982211828231812
36th-r24g39 7 back 10.907382726669312
36th-r24g39 7 back 11.056302070617676
36th-r24g39 7 back 10.938240766525269
36th-r24g39 7 back 11.103705644607544
36th-r24g39 7 back 11.060551166534424
36th-r24g39 7 back 11.31670331954956
36th-r24g39 7 back 11.27299690246582
36th-r24g39 7 back2 15.732879400253296
36th-r24g39 7 back2 15.756677627563477
36th-r24g39 7 back2 15.971590280532837
36th-r24g39 7 back2 15.86145830154419
36th-r24g39 7 back2 15.651947021484375
36th-r24g39 7 back2 16.078768968582153
36th-r24g39 7 back2 15.791155815124512
36th-r24g39 7 back2 16.166272401809692
36th-r24g39 7 back2 15.844483613967896
36th-r24g39 7 back2 15.834604978561401
36th-r24g39 56 fwd 69.66366219520569
36th-r24g39 56 fwd 69.86161875724792
36th-r24g39 56 fwd 69.50326371192932
36th-r24g39 56 fwd 70.37923836708069
36th-r24g39 56 fwd 69.97828483581543
36th-r24g39 56 fwd 69.585702419281
36th-r24g39 56 fwd 70.27523016929626
36th-r24g39 56 fwd 69.64208817481995
36th-r24g39 56 fwd 69.83554124832153
36th-r24g39 56 fwd 69.57524585723877
36th-r24g39 56 back 90.3375027179718
36th-r24g39 56 back 87.72531342506409
36th-r24g39 56 back 88.22762274742126
36th-r24g39 56 back 87.29658389091492
36th-r24g39 56 back 87.8836555480957
36th-r24g39 56 back 89.63730931282043
36th-r24g39 56 back 87.64305806159973
36th-r24g39 56 back 88.26886129379272
36th-r24g39 56 back 90.42110300064087
36th-r24g39 56 back 87.80681109428406
36th-r24g39 56 back2 127.04174184799194
36th-r24g39 56 back2 127.569082736969
36th-r24g39 56 back2 127.22862267494202
36th-r24g39 56 back2 127.44116592407227
36th-r24g39 56 back2 127.58738994598389
36th-r24g39 56 back2 127.83075428009033
36th-r24g39 56 back2 129.35564613342285
36th-r24g39 56 back2 127.65118622779846
36th-r24g39 56 back2 127.23002481460571
36th-r24g39 56 back2 127.4881911277771
1-P100 1 fwd 3.4128456115722656
1-P100 1 fwd 0.20898985862731934
1-P100 1 fwd 0.18309831619262695
1-P100 1 fwd 0.1833946704864502
1-P100 1 fwd 0.18302059173583984
1-P100 1 fwd 0.18343353271484375
1-P100 1 fwd 0.18326020240783691
1-P100 1 fwd 0.18329429626464844
1-P100 1 fwd 0.18561744689941406
1-P100 1 fwd 0.1899111270904541
1-P100 1 back 0.19514107704162598
1-P100 1 back 0.19470453262329102
1-P100 1 back 0.19711685180664062
1-P100 1 back 0.19663166999816895
1-P100 1 back 0.197310209274292
1-P100 1 back 0.19632434844970703
1-P100 1 back 0.19762372970581055
1-P100 1 back 0.19640469551086426
1-P100 1 back 0.19745802879333496
1-P100 1 back 0.19640827178955078
1-P100 7 fwd 1.1095898151397705
1-P100 7 fwd 1.0177552700042725
1-P100 7 fwd 1.0182371139526367
1-P100 7 fwd 1.016740083694458
1-P100 7 fwd 1.0171635150909424
1-P100 7 fwd 1.024226427078247
1-P100 7 fwd 1.0170533657073975
1-P100 7 fwd 1.017451286315918
1-P100 7 fwd 1.0167479515075684
1-P100 7 fwd 1.0160999298095703
1-P100 7 back 1.2557611465454102
1-P100 7 back 1.255415439605713
1-P100 7 back 1.2554092407226562
1-P100 7 back 1.2562835216522217
1-P100 7 back 1.2567956447601318
1-P100 7 back 1.2583832740783691
1-P100 7 back 1.2575461864471436
1-P100 7 back 1.255265712738037
1-P100 7 back 1.255805492401123
1-P100 7 back 1.2573637962341309
1-P100 56 fwd 8.454453945159912
1-P100 56 fwd 7.742802381515503
1-P100 56 fwd 7.7331719398498535
1-P100 56 fwd 7.733042001724243
1-P100 56 fwd 7.742738723754883
1-P100 56 fwd 7.753989219665527
1-P100 56 fwd 7.748220682144165
1-P100 56 fwd 7.741777420043945
1-P100 56 fwd 7.739147663116455
1-P100 56 fwd 7.746652603149414
1-P100 56 back 9.82457184791565
1-P100 56 back 9.809147596359253
1-P100 56 back 9.809472560882568
1-P100 56 back 9.808671951293945
1-P100 56 back 9.813338279724121
1-P100 56 back 9.81691598892212
1-P100 56 back 9.808969259262085
1-P100 56 back 9.80972695350647
1-P100 56 back 9.80836534500122
1-P100 56 back 9.819153070449829
2-P100 1 fwd 3.735340118408203
2-P100 1 fwd 0.2063431739807129
